Table_Id,City,Summary_Level,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100380,Berry,160,5932,16000US0105932,AL,1,1392
100381,Bessemer,160,5980,16000US0105980,AL,1,27043
100382,Billingsley,160,6460,16000US0106460,AL,1,176
100383,Birmingham,160,7000,16000US0107000,AL,1,212211
100384,Black,160,7120,16000US0107120,AL,1,157
100385,Blountsville,160,7456,16000US0107456,AL,1,1967
100386,Blue Ridge,160,7588,16000US0107588,AL,1,1461
100387,Blue Springs,160,7672,16000US0107672,AL,1,99
100388,Boaz,160,7912,16000US0107912,AL,1,9673
100389,Boligee,160,8104,16000US0108104,AL,1,640
100390,Bon Air,160,8248,16000US0108248,AL,1,103
100391,Bon Secour,160,8272,16000US0108272,AL,1,648
100392,Boykin,160,8680,16000US0108680,AL,1,67
100393,Brantley,160,9016,16000US0109016,AL,1,971
100394,Brantleyville,160,9064,16000US0109064,AL,1,1111
100395,Brent,160,9136,16000US0109136,AL,1,4898
100396,Brewton,160,9208,16000US0109208,AL,1,5424
100397,Bridgeport,160,9328,16000US0109328,AL,1,2300
100398,Brighton,160,9400,16000US0109400,AL,1,2904
100399,Brilliant,160,9424,16000US0109424,AL,1,908
100400,Bristow Cove,160,9457,16000US0109457,AL,1,531
100401,Brook Highland,160,9500,16000US0109500,AL,1,7032
100402,Brookside,160,9736,16000US0109736,AL,1,1258
100403,Brookwood,160,9808,16000US0109808,AL,1,1932
100404,Broomtown,160,9880,16000US0109880,AL,1,160
100405,Brundidge,160,10240,16000US0110240,AL,1,2189
100406,Bucks,160,10456,16000US0110456,AL,1,50
100407,Butler,160,11032,16000US0111032,AL,1,2360
100408,Calera,160,11416,16000US0111416,AL,1,12593
100409,Calvert,160,11488,16000US0111488,AL,1,394
100410,Camden,160,11512,16000US0111512,AL,1,2721
100411,Camp Hill,160,11680,16000US0111680,AL,1,1051
100412,Carbon Hill,160,12016,16000US0112016,AL,1,1739
100413,Cardiff,160,12040,16000US0112040,AL,1,30
100414,Carlisle-Rockledge,160,12070,16000US0112070,AL,1,2910
100415,Carlton,160,12112,16000US0112112,AL,1,74
100416,Carolina,160,12160,16000US0112160,AL,1,285
100417,Carrollton,160,12304,16000US0112304,AL,1,922
100418,Castleberry,160,12496,16000US0112496,AL,1,543
100419,Catherine,160,12544,16000US0112544,AL,1,20
100420,Cedar Bluff,160,12760,16000US0112760,AL,1,2017
